m	L2error_t	L2error_a	CV	FCV
32.0	2.1862455093620437e-5	1.1560229490372904e-9	6.95166853111975e-310	2.2309690608233587e-5
32.0	2.1862455093620437e-5	1.1560229490372904e-9	6.9516685311245e-310	2.2309690608233587e-5
32.0	2.1862455093620437e-5	1.1560229490372904e-9	6.95166853112924e-310	2.2309690608233587e-5
32.0	2.1862455093620437e-5	1.1560229490372904e-9	6.951668531134e-310	2.2309690608233587e-5
32.0	2.1862455093620437e-5	1.1560229490372904e-9	6.9516685311387e-310	2.2309690608233587e-5
32.0	2.1862455093620437e-5	1.1560229490372904e-9	6.95166853114347e-310	2.2309690608233587e-5
32.0	2.1862455093620437e-5	1.1560229490372904e-9	6.9516685311482e-310	2.2309690608233587e-5
32.0	2.1862455093620437e-5	1.1560229490372904e-9	6.95166853115295e-310	2.2309690608233587e-5
32.0	2.1862455093620437e-5	1.1560229490372904e-9	6.9516685311577e-310	2.2309690608233587e-5
32.0	2.1862455093620437e-5	1.1560229490372904e-9	6.95166853116244e-310	2.2309690608233587e-5
32.0	2.1862455093620437e-5	1.1560229490372904e-9	6.9516685311672e-310	2.2309690608233587e-5
32.0	2.1862455093620437e-5	1.1560229490372904e-9	6.95166853117193e-310	2.2309690608233587e-5
112.0	1.2335918431662573e-5	1.6906015803711222e-9	6.95166853117667e-310	1.2736749768981918e-5
112.0	1.2335918431662573e-5	1.6906015803711222e-9	6.9516685311814e-310	1.2736749768981918e-5
112.0	1.2335918431662573e-5	1.6906015803711222e-9	6.95166853118615e-310	1.2736749768981918e-5
192.0	2.469303232381214e-7	1.4594192012102936e-10	6.9516685311909e-310	6.382177875773456e-7
192.0	2.469303232381214e-7	1.4594192012102936e-10	6.95166853119564e-310	6.382177875773456e-7
192.0	2.469303232381214e-7	1.4594192012102936e-10	6.9516685312004e-310	6.382177875773456e-7
272.0	1.843968338245596e-7	2.0499155650918527e-10	6.95166853120513e-310	5.76589734694702e-7
272.0	1.843968338245596e-7	2.0499155650918527e-10	6.95166853120987e-310	5.76589734694702e-7
352.0	1.7376964310013288e-7	2.490584951255595e-10	6.9516685312146e-310	5.655670930266036e-7
432.0	1.6961645289605837e-7	3.036897766588906e-10	6.95166853121936e-310	5.613303143417109e-7
512.0	1.296382702894571e-7	3.3996197795163183e-10	6.95166853203674e-310	5.21600777953584e-7
672.0	1.0489904888602228e-7	3.8262243259078085e-10	6.9516685320415e-310	4.964065025053789e-7
752.0	1.0466370609714566e-7	4.3237269001445345e-10	6.9516685320462e-310	4.962270138666776e-7
832.0	1.0450731342836507e-7	4.860539988201766e-10	6.95166853205097e-310	4.961264783730195e-7
1152.0	4.105978400445638e-8	5.212790248728254e-10	6.9516685320557e-310	4.317982877647541e-7
1312.0	4.1017524671704483e-8	5.878327707903794e-10	6.95166853206045e-310	4.3183707475238586e-7
1472.0	4.068480973233764e-8	6.633030568464156e-10	6.9516685320652e-310	4.316007393929568e-7
1792.0	4.036010541486751e-8	8.02937529118425e-10	6.95166853206994e-310	4.3140024302519144e-7
2112.0	1.4839206315554049e-9	8.348456344899878e-10	6.9516685320747e-310	3.9281086879009545e-7
2512.0	1.4050807926012376e-9	1.0064031812912069e-9	6.95166853207943e-310	3.9287904584857257e-7
2912.0	1.3745382583876808e-9	1.1684378522879963e-9	6.95166853208417e-310	3.929973799368293e-7
3632.0	7.664712213441977e-10	1.4887757158367843e-9	6.9516685320889e-310	3.9262635982023745e-7
4312.0	6.625223533847369e-10	1.7566732452394965e-9	6.95166853209365e-310	3.9277962368291434e-7
5032.0	6.592161786063422e-10	2.036096013433771e-9	6.9516685320984e-310	3.930753917648204e-7
5832.0	6.309058171727333e-10	2.3222212154189298e-9	6.95166853210314e-310	3.93399113497948e-7
7032.0	3.619866249197218e-10	2.7974061627049327e-9	6.9516685321079e-310	3.936101098056433e-7
8272.0	2.414574380282114e-10	3.3230176548447303e-9	6.95166853211263e-310	3.9393861884207564e-7
9792.0	2.3678401860766085e-10	3.9267826076986315e-9	6.95166853211737e-310	3.945547820072179e-7
11912.0	2.2056483722776576e-10	4.777879500948959e-9	6.9516685321221e-310	3.9541608865267295e-7
13872.0	7.241492106478675e-11	5.584146898481513e-9	6.95166853212686e-310	3.960887152304441e-7
