m	L2error_t	L2error_a	CV	FCV
32.0	2.1862455093620437e-5	1.2072525218192444e-9	6.95166852539175e-310	2.1919688681913388e-5
32.0	2.1862455093620437e-5	1.2072525218192444e-9	6.9516685253965e-310	2.1919688681913388e-5
32.0	2.1862455093620437e-5	1.2072525218192444e-9	6.95166852540124e-310	2.1919688681913388e-5
32.0	2.1862455093620437e-5	1.2072525218192444e-9	6.951668525406e-310	2.1919688681913388e-5
32.0	2.1862455093620437e-5	1.2072525218192444e-9	6.95166852541072e-310	2.1919688681913388e-5
32.0	2.1862455093620437e-5	1.2072525218192444e-9	6.95166852541547e-310	2.1919688681913388e-5
32.0	2.1862455093620437e-5	1.2072525218192444e-9	6.9516685254202e-310	2.1919688681913388e-5
32.0	2.1862455093620437e-5	1.2072525218192444e-9	6.95166852542495e-310	2.1919688681913388e-5
32.0	2.1862455093620437e-5	1.2072525218192444e-9	6.9516685254297e-310	2.1919688681913388e-5
32.0	2.1862455093620437e-5	1.2072525218192444e-9	6.95166852543444e-310	2.1919688681913388e-5
32.0	2.1862455093620437e-5	1.2072525218192444e-9	6.9516685254392e-310	2.1919688681913388e-5
32.0	2.1862455093620437e-5	1.2072525218192444e-9	6.95166852544393e-310	2.1919688681913388e-5
112.0	1.2335918431662573e-5	1.6393733771784851e-9	6.95166852544867e-310	1.2347559392044305e-5
112.0	1.2335918431662573e-5	1.6393733771784851e-9	6.9516685254534e-310	1.2347559392044305e-5
112.0	1.2335918431662573e-5	1.6393733771784851e-9	6.95166852545816e-310	1.2347559392044305e-5
192.0	2.469303232381214e-7	9.71864800085225e-11	6.9516685254629e-310	2.4841255045360057e-7
192.0	2.469303232381214e-7	9.71864800085225e-11	6.95166852546764e-310	2.4841255045360057e-7
192.0	2.469303232381214e-7	9.71864800085225e-11	6.9516685254724e-310	2.4841255045360057e-7
272.0	1.843968338245596e-7	1.2201191239905542e-10	6.95166852547713e-310	1.8641042266688376e-7
272.0	1.843968338245596e-7	1.2201191239905542e-10	6.95166852548187e-310	1.8641042266688376e-7
352.0	1.7376964310013288e-7	1.392567317392329e-10	6.9516685254866e-310	1.7547629750828387e-7
432.0	1.6961645289605837e-7	1.5964930294711592e-10	6.95166852549136e-310	1.711868907670035e-7
512.0	1.296382702894571e-7	1.6971506134354395e-10	6.9516685254961e-310	1.3119154978373974e-7
672.0	1.0489904888602228e-7	1.457428579334962e-10	6.95166852550084e-310	1.0605236130857586e-7
752.0	1.0466370609714566e-7	1.6185724843023666e-10	6.9516685255056e-310	1.0587137090801306e-7
832.0	1.0450731342836507e-7	1.8662204645213757e-10	6.95166852551033e-310	1.0575289407860756e-7
1152.0	4.105978400445638e-8	8.381247305084416e-11	6.95166852551507e-310	4.1182788980109835e-8
1312.0	4.1017524671704483e-8	9.382564191930909e-11	6.9516685255198e-310	4.114276652259919e-8
1472.0	4.068480973233764e-8	1.0167312231483023e-10	6.95166852552456e-310	4.081361216669179e-8
1792.0	4.036010541486751e-8	1.2110349226222954e-10	6.9516685255293e-310	4.050099924552263e-8
2112.0	1.4839206315554049e-9	6.779997065670589e-12	6.95166852553404e-310	1.495035613433247e-9
2512.0	1.4050807926012376e-9	7.26313134934686e-12	6.9516685255388e-310	1.4157501104520712e-9
2912.0	1.3745382583876808e-9	7.784372527289899e-12	6.95166852554353e-310	1.3865059166244068e-9
3632.0	7.664712213441977e-10	5.913777702815451e-12	6.95166852554827e-310	7.814866856378459e-10
4312.0	6.625223533847369e-10	5.77914419617854e-12	6.951668525553e-310	6.768117917758646e-10
5032.0	6.592161786063422e-10	6.444452845136337e-12	6.9516685255609e-310	6.74803418299889e-10
5832.0	6.309058171727333e-10	7.1314231556764394e-12	6.95166852556566e-310	6.488435834070764e-10
7032.0	3.619866249197218e-10	6.362229061930404e-12	6.9516685255704e-310	3.811643466378602e-10
8272.0	2.414574380282114e-10	4.290975632695116e-12	6.95166852557515e-310	2.518166286987917e-10
9792.0	2.3678401860766085e-10	4.865035116019625e-12	6.9516685255799e-310	2.481553799624186e-10
11912.0	2.2056483722776576e-10	5.7473776141216665e-12	6.95166852558464e-310	2.3301067902004185e-10
13872.0	7.241492106478675e-11	1.854439747868832e-12	6.9516685255894e-310	7.549689704081345e-11
