m	L2error_t	L2error_a	CV	FCV
32.0	2.1862455093620437e-5	1.2095730233352381e-9	6.9516685256605e-310	2.192109879015249e-5
32.0	2.1862455093620437e-5	1.2095730233352381e-9	6.95166852566527e-310	2.192109879015249e-5
32.0	2.1862455093620437e-5	1.2095730233352381e-9	6.95166852567e-310	2.192109879015249e-5
32.0	2.1862455093620437e-5	1.2095730233352381e-9	6.95166852567475e-310	2.192109879015249e-5
32.0	2.1862455093620437e-5	1.2095730233352381e-9	6.9516685256795e-310	2.192109879015249e-5
32.0	2.1862455093620437e-5	1.2095730233352381e-9	6.95166852568424e-310	2.192109879015249e-5
32.0	2.1862455093620437e-5	1.2095730233352381e-9	6.951668525689e-310	2.192109879015249e-5
32.0	2.1862455093620437e-5	1.2095730233352381e-9	6.95166852569373e-310	2.192109879015249e-5
32.0	2.1862455093620437e-5	1.2095730233352381e-9	6.95166852569847e-310	2.192109879015249e-5
32.0	2.1862455093620437e-5	1.2095730233352381e-9	6.9516685257032e-310	2.192109879015249e-5
32.0	2.1862455093620437e-5	1.2095730233352381e-9	6.95166852570795e-310	2.192109879015249e-5
32.0	2.1862455093620437e-5	1.2095730233352381e-9	6.9516685257127e-310	2.192109879015249e-5
112.0	1.2335918431662573e-5	1.642521992583963e-9	6.95166852571744e-310	1.2348758759114073e-5
112.0	1.2335918431662573e-5	1.642521992583963e-9	6.9516685257222e-310	1.2348758759114073e-5
112.0	1.2335918431662573e-5	1.642521992583963e-9	6.95166852572693e-310	1.2348758759114073e-5
192.0	2.469303232381214e-7	9.902712950662646e-11	6.95166852573167e-310	2.49950404772562e-7
192.0	2.469303232381214e-7	9.902712950662646e-11	6.9516685257364e-310	2.49950404772562e-7
192.0	2.469303232381214e-7	9.902712950662646e-11	6.95166852574116e-310	2.49950404772562e-7
272.0	1.843968338245596e-7	1.2342128692412693e-10	6.9516685257459e-310	1.8792786741084246e-7
272.0	1.843968338245596e-7	1.2342128692412693e-10	6.95166852575064e-310	1.8792786741084246e-7
352.0	1.7376964310013288e-7	1.404404155181464e-10	6.9516685257554e-310	1.76985162725289e-7
432.0	1.6961645289605837e-7	1.6051791867891702e-10	6.95166852576013e-310	1.7269357080494462e-7
512.0	1.296382702894571e-7	1.7114373647181594e-10	6.95166852576487e-310	1.3270414791914518e-7
672.0	1.0489904888602228e-7	1.4800181048998008e-10	6.9516685257696e-310	1.0755956908921682e-7
752.0	1.0466370609714566e-7	1.6410687698144984e-10	6.95166852577436e-310	1.0737982911484662e-7
832.0	1.0450731342836507e-7	1.8867730709273503e-10	6.9516685257791e-310	1.0726194478226729e-7
1152.0	4.105978400445638e-8	8.535363378109682e-11	6.95166852578384e-310	4.269972813319313e-8
1312.0	4.1017524671704483e-8	9.549151559892361e-11	6.9516685257886e-310	4.2660531873167494e-8
1472.0	4.068480973233764e-8	1.0364730362717109e-10	6.95166852579333e-310	4.233176954031557e-8
1792.0	4.036010541486751e-8	1.2318632599882176e-10	6.95166852579807e-310	4.2018205456539054e-8
2112.0	1.4839206315554049e-9	1.0103269555697943e-11	6.9516685258028e-310	3.0208677195733914e-9
2512.0	1.4050807926012376e-9	1.1184334504838574e-11	6.95166852580756e-310	2.9431905826049623e-9
2912.0	1.3745382583876808e-9	1.2116026107360925e-11	6.9516685258123e-310	2.914514581259885e-9
3632.0	7.664712213441977e-10	1.126257036270055e-11	6.95166852581704e-310	2.312623245326335e-9
4312.0	6.625223533847369e-10	1.2094505189007329e-11	6.9516685258218e-310	2.209973400094027e-9
5032.0	6.592161786063422e-10	1.3932411175087898e-11	6.95166852582653e-310	2.2092043691322507e-9
5832.0	6.309058171727333e-10	1.5958448574720735e-11	6.95166852583127e-310	2.1843887316490975e-9
7032.0	3.619866249197218e-10	1.6829988388422836e-11	6.951668525836e-310	1.916837963175988e-9
8272.0	2.414574380282114e-10	1.6842837117580118e-11	6.95166852584076e-310	1.7889068761771473e-9
9792.0	2.3678401860766085e-10	1.967770283782273e-11	6.9516685258455e-310	1.787972480782934e-9
11912.0	2.2056483722776576e-10	2.3906255285806936e-11	6.95166852585025e-310	1.7758021691238835e-9
13872.0	7.241492106478675e-11	2.3055960660745007e-11	6.951668525855e-310	1.6221858046724367e-9
