m	L2error_t	L2error_a	CV	FCV
32.0	2.1862455093620437e-5	1.2212525068198832e-9	6.95166853017273e-310	2.2042277426328814e-5
32.0	2.1862455093620437e-5	1.2212525068198832e-9	6.95166853017747e-310	2.2042277426328814e-5
32.0	2.1862455093620437e-5	1.2212525068198832e-9	6.9516685301822e-310	2.2042277426328814e-5
32.0	2.1862455093620437e-5	1.2212525068198832e-9	6.95166853018696e-310	2.2042277426328814e-5
32.0	2.1862455093620437e-5	1.2212525068198832e-9	6.9516685301917e-310	2.2042277426328814e-5
32.0	2.1862455093620437e-5	1.2212525068198832e-9	6.95166853019644e-310	2.2042277426328814e-5
32.0	2.1862455093620437e-5	1.2212525068198832e-9	6.9516685302012e-310	2.2042277426328814e-5
32.0	2.1862455093620437e-5	1.2212525068198832e-9	6.95166853020593e-310	2.2042277426328814e-5
32.0	2.1862455093620437e-5	1.2212525068198832e-9	6.95166853021067e-310	2.2042277426328814e-5
32.0	2.1862455093620437e-5	1.2212525068198832e-9	6.9516685302154e-310	2.2042277426328814e-5
32.0	2.1862455093620437e-5	1.2212525068198832e-9	6.95166853022016e-310	2.2042277426328814e-5
32.0	2.1862455093620437e-5	1.2212525068198832e-9	6.9516685302249e-310	2.2042277426328814e-5
112.0	1.2335918431662573e-5	1.662252730544867e-9	6.95166853022964e-310	1.2471384466618135e-5
112.0	1.2335918431662573e-5	1.662252730544867e-9	6.9516685302344e-310	1.2471384466618135e-5
112.0	1.2335918431662573e-5	1.662252730544867e-9	6.95166853023913e-310	1.2471384466618135e-5
192.0	2.469303232381214e-7	1.2894299529925213e-10	6.95166853024387e-310	3.717971671066882e-7
192.0	2.469303232381214e-7	1.2894299529925213e-10	6.9516685302486e-310	3.717971671066882e-7
192.0	2.469303232381214e-7	1.2894299529925213e-10	6.95166853025336e-310	3.717971671066882e-7
272.0	1.843968338245596e-7	1.6762401606838116e-10	6.9516685302581e-310	3.10108645240012e-7
272.0	1.843968338245596e-7	1.6762401606838116e-10	6.95166853026284e-310	3.10108645240012e-7
352.0	1.7376964310013288e-7	1.9275218289944959e-10	6.9516685302676e-310	2.991741101579608e-7
432.0	1.6961645289605837e-7	2.2936372411679777e-10	6.95166853027233e-310	2.948382125308586e-7
512.0	1.296382702894571e-7	2.4961820075970993e-10	6.95166853027707e-310	2.548959054866135e-7
672.0	1.0489904888602228e-7	2.503231660479763e-10	6.9516685302818e-310	2.300944032920513e-7
752.0	1.0466370609714566e-7	2.786960134958321e-10	6.95166853028656e-310	2.299239325064361e-7
832.0	1.0450731342836507e-7	3.145774623741712e-10	6.9516685302913e-310	2.2982532348856896e-7
1152.0	4.105978400445638e-8	2.40779288284567e-10	6.95166853029605e-310	1.6507228714976082e-7
1312.0	4.1017524671704483e-8	2.7050912171274703e-10	6.9516685303008e-310	1.6505043289569387e-7
1472.0	4.068480973233764e-8	2.9733885247893537e-10	6.95166853030553e-310	1.6474015670204006e-7
1792.0	4.036010541486751e-8	3.6113958195327333e-10	6.95166853031027e-310	1.6446171114031235e-7
2112.0	1.4839206315554049e-9	2.7393637827127745e-10	6.951668530315e-310	1.254005254469098e-7
2512.0	1.4050807926012376e-9	3.2318381027804433e-10	6.95166853031976e-310	1.2536767467976284e-7
2912.0	1.3745382583876808e-9	3.7515858943158315e-10	6.9516685303245e-310	1.2539223933043778e-7
3632.0	7.664712213441977e-10	4.6135914108257164e-10	6.95166853032925e-310	1.2486287242745018e-7
4312.0	6.625223533847369e-10	5.44200592717092e-10	6.951668530334e-310	1.248521452834197e-7
5032.0	6.592161786063422e-10	6.321791187292677e-10	6.95166853033873e-310	1.2494104391854988e-7
5832.0	6.309058171727333e-10	7.287094699275311e-10	6.9516685303435e-310	1.2502106282818816e-7
7032.0	3.619866249197218e-10	8.789335575684923e-10	6.9516685303482e-310	1.248976621665412e-7
8272.0	2.414574380282114e-10	1.0292378156571896e-9	6.95166853035296e-310	1.2494189667167084e-7
9792.0	2.3678401860766085e-10	1.2390622491996367e-9	6.9516685303577e-310	1.2511907909730997e-7
11912.0	2.2056483722776576e-10	1.5067753082783162e-9	6.95166853036245e-310	1.253823894893723e-7
13872.0	7.241492106478675e-11	1.7496724119952527e-9	6.9516685303672e-310	1.2547542234955422e-7
