m	L2error_t	L2error_a	CV	FCV
32.0	2.1862455093620437e-5	1.208804989665604e-9	6.9516685299071e-310	2.1943149236618807e-5
32.0	2.1862455093620437e-5	1.208804989665604e-9	6.95166852991186e-310	2.1943149236618807e-5
32.0	2.1862455093620437e-5	1.208804989665604e-9	6.9516685299166e-310	2.1943149236618807e-5
32.0	2.1862455093620437e-5	1.208804989665604e-9	6.95166852992135e-310	2.1943149236618807e-5
32.0	2.1862455093620437e-5	1.208804989665604e-9	6.9516685299261e-310	2.1943149236618807e-5
32.0	2.1862455093620437e-5	1.208804989665604e-9	6.95166852993083e-310	2.1943149236618807e-5
32.0	2.1862455093620437e-5	1.208804989665604e-9	6.9516685299356e-310	2.1943149236618807e-5
32.0	2.1862455093620437e-5	1.208804989665604e-9	6.9516685299403e-310	2.1943149236618807e-5
32.0	2.1862455093620437e-5	1.208804989665604e-9	6.95166852994506e-310	2.1943149236618807e-5
32.0	2.1862455093620437e-5	1.208804989665604e-9	6.9516685299498e-310	2.1943149236618807e-5
32.0	2.1862455093620437e-5	1.208804989665604e-9	6.95166852995455e-310	2.1943149236618807e-5
32.0	2.1862455093620437e-5	1.208804989665604e-9	6.9516685299593e-310	2.1943149236618807e-5
112.0	1.2335918431662573e-5	1.6504591579001996e-9	6.95166852996403e-310	1.2371075400906272e-5
112.0	1.2335918431662573e-5	1.6504591579001996e-9	6.9516685299688e-310	1.2371075400906272e-5
112.0	1.2335918431662573e-5	1.6504591579001996e-9	6.9516685299735e-310	1.2371075400906272e-5
192.0	2.469303232381214e-7	9.646383645171458e-11	6.95166852997826e-310	2.724221377209275e-7
192.0	2.469303232381214e-7	9.646383645171458e-11	6.951668529983e-310	2.724221377209275e-7
192.0	2.469303232381214e-7	9.646383645171458e-11	6.95166852998775e-310	2.724221377209275e-7
272.0	1.843968338245596e-7	1.2826265947780922e-10	6.9516685299925e-310	2.1051790578406116e-7
272.0	1.843968338245596e-7	1.2826265947780922e-10	6.95166852999723e-310	2.1051790578406116e-7
352.0	1.7376964310013288e-7	1.4722478297475909e-10	6.951668530002e-310	1.9960583787376556e-7
432.0	1.6961645289605837e-7	1.7252285794173694e-10	6.9516685300067e-310	1.9530192355172396e-7
512.0	1.296382702894571e-7	1.8890459623213074e-10	6.95166853001146e-310	1.5541579908068442e-7
672.0	1.0489904888602228e-7	1.6642831628059274e-10	6.9516685300162e-310	1.3034680320223899e-7
752.0	1.0466370609714566e-7	1.8567336995295414e-10	6.95166853002095e-310	1.3016643293488573e-7
832.0	1.0450731342836507e-7	2.1131010849848112e-10	6.9516685300257e-310	1.300552166918188e-7
1152.0	4.105978400445638e-8	1.1360830198592869e-10	6.95166853003044e-310	6.546137153590479e-8
1312.0	4.1017524671704483e-8	1.2698539709449765e-10	6.9516685300352e-310	6.542654109957076e-8
1472.0	4.068480973233764e-8	1.3951745322137452e-10	6.9516685300399e-310	6.510000709338437e-8
1792.0	4.036010541486751e-8	1.6763054140990994e-10	6.95166853004467e-310	6.478846094248343e-8
2112.0	1.4839206315554049e-9	5.768827506924772e-11	6.9516685300494e-310	2.5933644102331326e-8
2512.0	1.4050807926012376e-9	6.69586532696085e-11	6.95166853005415e-310	2.5864237125000965e-8
2912.0	1.3745382583876808e-9	7.840723704367955e-11	6.9516685300589e-310	2.5845122056623914e-8
3632.0	7.664712213441977e-10	9.44776206786237e-11	6.95166853006364e-310	2.5256046446982164e-8
4312.0	6.625223533847369e-10	1.1053634844539625e-10	6.9516685300684e-310	2.5173910733523166e-8
5032.0	6.592161786063422e-10	1.2736703374487767e-10	6.9516685300731e-310	2.5190694648719812e-8
5832.0	6.309058171727333e-10	1.4722411856236696e-10	6.95166853007787e-310	2.5185747025675994e-8
7032.0	3.619866249197218e-10	1.768831507765088e-10	6.9516685300826e-310	2.4941505856185053e-8
8272.0	2.414574380282114e-10	2.0681193628892324e-10	6.95166853008735e-310	2.4846574161009804e-8
9792.0	2.3678401860766085e-10	2.4810995686813943e-10	6.9516685300921e-310	2.487780248328984e-8
11912.0	2.2056483722776576e-10	3.005692577440768e-10	6.95166853009684e-310	2.4919883151184952e-8
13872.0	7.241492106478675e-11	3.4757580860058287e-10	6.9516685301016e-310	2.4815025331616362e-8
