1.0	1.526838911265013e-11
1.0	1.526838911265013e-11
1.0	1.526838911265013e-11
1.0	1.526838911265013e-11
1.0	1.526838911265013e-11
1.0	1.526838911265013e-11
1.0	1.526838911265013e-11
1.0	1.526838911265013e-11
1.0	1.526838911265013e-11
1.0	1.526838911265013e-11
2.0	7.285370817701992e-11
2.0	7.285370817701992e-11
2.0	7.285370817701992e-11
2.0	7.285370817701992e-11
2.0	7.285370817701992e-11
2.0	7.285370817701992e-11
3.0	3.51183207040127e-10
3.0	3.51183207040127e-10
3.0	3.51183207040127e-10
3.0	3.51183207040127e-10
4.0	3.587662939591551e-10
4.0	3.587662939591551e-10
4.0	3.587662939591551e-10
4.0	3.587662939591551e-10
5.0	3.724387609954911e-10
5.0	3.724387609954911e-10
6.0	4.112085554507367e-10
6.0	4.112085554507367e-10
7.0	4.4245917875891016e-10
7.0	4.4245917875891016e-10
8.0	4.880359258844192e-10
8.0	4.880359258844192e-10
9.0	4.923231702428469e-10
9.0	4.923231702428469e-10
10.0	5.179958574996336e-10
11.0	6.270854366042059e-10
12.0	6.305667524301405e-10
13.0	6.725094585628437e-10
14.0	6.983561517953386e-10
15.0	8.01638081608527e-10
16.0	8.016376703187715e-10
17.0	8.014559200819565e-10
18.0	8.05093537087037e-10
20.0	8.162638958010653e-10
21.0	8.193401956665216e-10
23.0	8.251232414136121e-10
24.0	8.252350346953009e-10
26.0	8.872197252578798e-10
28.0	9.15718360463858e-10
30.0	1.0105682985955441e-9
32.0	1.0324382170450583e-9
35.0	1.096072515469157e-9
37.0	1.3269370535037339e-9
40.0	1.3606863817397964e-9
43.0	1.3715781157174761e-9
46.0	1.5086419831218681e-9
49.0	1.751711197970378e-9
53.0	2.0603983461025685e-9
57.0	2.1324619266625467e-9
61.0	2.3691521883912254e-9
65.0	2.5054196612362876e-9
70.0	2.7685401446507414e-9
75.0	2.8389146505044134e-9
81.0	3.117350395651533e-9
86.0	3.3232994476468425e-9
93.0	3.5012213789084446e-9
99.0	3.991499172912122e-9
107.0	4.224219450604022e-9
114.0	4.49222417458399e-9
123.0	4.723573055212696e-9
132.0	5.1422733826057095e-9
141.0	5.626279309883596e-9
151.0	6.075853186791826e-9
162.0	6.226662586288044e-9
174.0	6.580638342347693e-9
187.0	6.913990913863493e-9
200.0	7.260272008048583e-9
215.0	7.730862705911725e-9
231.0	8.3792273891235e-9
247.0	9.078397297286424e-9
265.0	1.0011173734540464e-8
284.0	1.06942380039355e-8
305.0	1.1276126724184485e-8
327.0	1.2019036180480458e-8
351.0	1.2819823734825947e-8
376.0	1.3686609300362356e-8
403.0	1.5005842516212058e-8
432.0	1.6667788602411387e-8
464.0	1.8092640312761165e-8
497.0	1.930082685719133e-8
533.0	2.051792685686789e-8
572.0	2.210895420986997e-8
613.0	2.3464803745668503e-8
657.0	2.6083195617111272e-8
705.0	2.80771013675895e-8
756.0	3.0832317482907015e-8
811.0	3.312748777411578e-8
869.0	3.486126540552428e-8
932.0	3.71328091098414e-8
999.0	3.965801791862408e-8
