b	A	B
1.02	0.00028711479369466174	3.8434334264440686
1.0308890420989276	0.0005500293336119293	3.835245927980819
1.047706646089466	0.00096518904522146	3.756426797303373
1.0736806299728077	0.002161539108993831	3.7529036322813605
1.1137962040552782	0.003953095900350385	3.6308520930294543
1.1757527868880822	0.008170067865599193	3.5939066115055205
1.2714417616594909	0.016324442741840528	3.47311723961353
1.4192288001653537	0.028831966971738152	3.342510264673682
1.6474788028695255	0.0567890823522261	3.081801950327343
2.0	0.0916503050205241	2.8897459471526483
