b	A	B
1.02	0.0004052224182657802	3.8151864704594454
1.0308890420989276	0.0006816298520038432	3.7988932254917476
1.047706646089466	0.001364146577254304	3.7264797411873567
1.0736806299728077	0.0025355613787159735	3.7096269290204775
1.1137962040552782	0.004765355852261592	3.6545065811383255
1.1757527868880822	0.009324921734250017	3.5362676423033754
1.2714417616594909	0.018104021326926303	3.388185162631096
1.4192288001653537	0.03475715613218735	3.2758070793312184
1.6474788028695255	0.06124143041042265	3.0561391633573054
2.0	0.10476133160157905	2.8213946407909143
