m	L2error	CV	FCV
147.0	0.0006200126212698668	6.359314853135727e-6	6.3606050269989084e-6
159.0	0.0006159860387505771	6.363529073179865e-6	6.364811689236808e-6
171.0	0.0006240901053498867	6.395198673575563e-6	6.396522666395768e-6
183.0	0.0006362327441467859	6.415581083828193e-6	6.416993123747836e-6
197.0	0.0006413402433725099	6.445147205644549e-6	6.446666468972583e-6
211.0	0.0006577001604048544	6.460922115243361e-6	6.4617071226897174e-6
227.0	0.0006749887346422626	6.505302412208315e-6	6.505270437506398e-6
245.0	0.0006914309667848956	6.557926400771366e-6	6.557692792918427e-6
263.0	0.000738190576022773	6.585057586556963e-6	6.584335951496115e-6
281.0	0.0007537085047720109	6.641170468357073e-6	6.640970849051015e-6
303.0	0.0008129222764256027	6.6458440726111255e-6	6.645519097846911e-6
325.0	0.0008424880711779292	6.7044594417604624e-6	6.703561857328877e-6
349.0	0.0008856157899175223	6.7511243020727575e-6	6.746817985733073e-6
375.0	0.0009243587860894861	6.821344761168569e-6	6.8132282878360885e-6
403.0	0.000961638853920343	6.920548113832193e-6	6.901782744334047e-6
433.0	0.0009821008910191693	7.03709668631647e-6	7.002418876073336e-6
465.0	0.001045355133777436	7.156658554971411e-6	7.094125470916306e-6
501.0	0.0011409954171846854	7.231345646516549e-6	7.112174782005074e-6
537.0	0.001203613646566626	7.257449592942906e-6	7.197461402691028e-6
577.0	0.0012625523364938316	7.39853176720428e-6	7.3255943142634325e-6
621.0	0.0013383816021475443	7.614515881958976e-6	7.471043302968411e-6
667.0	0.0013982457252282154	7.818768229171316e-6	7.56338982506138e-6
717.0	0.0014395745636588022	7.878333180225747e-6	7.719587801691088e-6
769.0	0.001532764182971184	8.571514764905584e-6	7.90911336290394e-6
827.0	0.0019191384808697318	9.730936067408824e-6	8.160505504867911e-6
889.0	0.0018121818223756894	1.0339660584357076e-5	8.423607875198793e-6
955.0	0.00565115915167498	1.163206851535032e-5	8.680992569380225e-6
1025.0	0.006076949028451155	2.1794469018240883e-5	8.919767004529465e-6
1101.0	0.006216006570268225	1.7725433224598872e-5	9.284402922766894e-6
1183.0	0.0032213289060071325	5.5082856837698136e-5	9.668066298978385e-6
1271.0	0.011369183559489567	0.0012760132776835592	1.0236351852980701e-5
1365.0	0.046874898433535234	0.002199244634145717	1.0862627713837578e-5
1467.0	0.12419938082164941	0.04385705249674126	1.1634168393776805e-5
1577.0	0.16507726358972705	0.4563957596085979	1.2488068121146244e-5
1693.0	0.28352198205500634	9991.48888324264	1.3649748105395848e-5
1819.0	0.14071849396650077	1928.7502398232232	1.4868918114777542e-5
1955.0	0.16016917823502103	1277.4679335932083	1.7258065897160927e-5
2101.0	0.26828836426039604	0.31563594824527286	2.0029240082850618e-5
2257.0	0.3294690344244742	0.00037112111100063146	2.543168812706275e-5
2423.0	0.43186655656058237	0.00013830369188444133	3.556361976463307e-5
